instrument_id,instrument_code,issuer_id,instrument_type,notional,currency,issue_date,maturity_date
1,INS000001,116,Loan,156367299.29,CRC,2021-01-06,2025-04-02
2,INS000002,282,Bond,54309892.97,JPY,2020-11-12,2023-02-18
3,INS000003,278,Bond,152240822.05,CRC,2022-08-12,2032-02-05
4,INS000004,280,Bond,147461750.83,EUR,2019-03-24,2024-12-28
5,INS000005,153,MTN,53300229.72,USD,2022-11-27,2024-04-07
6,INS000006,225,Loan,42765755.35,JPY,2022-11-08,2025-03-02
7,INS000007,441,MTN,34030341.92,EUR,2021-12-26,2029-10-29
8,INS000008,402,Bond,114444794.62,JPY,2019-02-28,2022-06-24
9,INS000009,306,CP,195821031.12,JPY,2021-01-08,2023-11-28
10,INS000010,149,Bond,27982192.38,CRC,2021-03-18,2025-03-17
11,INS000011,471,Loan,140583878.95,EUR,2018-05-02,2022-06-10
12,INS000012,128,CP,165867878.74,CRC,2018-10-27,2018-10-27
13,INS000013,251,CP,125934751.34,CRC,2018-10-19,2026-04-10
14,INS000014,232,Bond,81167303.89,JPY,2018-06-04,2026-07-12
15,INS000015,356,MTN,190100561.69,JPY,2023-04-02,2028-05-21
16,INS000016,298,Bond,146455455.56,CRC,2018-01-06,2027-09-11
17,INS000017,326,CP,170171141.72,CRC,2021-09-22,2030-07-18
18,INS000018,112,Loan,99448274.56,JPY,2023-06-06,2029-03-30
19,INS000019,425,Loan,113662280.07,CRC,2019-08-04,2024-05-17
20,INS000020,404,Bond,10142642.21,CRC,2019-12-05,2028-07-30
21,INS000021,9,MTN,91847109.06,CRC,2018-09-12,2021-06-20
22,INS000022,104,CP,32636515.12,JPY,2021-11-11,2024-05-04
23,INS000023,48,CP,17401685.61,EUR,2021-09-02,2026-09-17
24,INS000024,27,CP,145471684.33,EUR,2020-03-22,2028-03-27
25,INS000025,220,Bond,1216174.43,CRC,2021-09-04,2023-09-12
26,INS000026,40,Loan,104369406.67,CRC,2018-09-29,2026-05-26
27,INS000027,5,CP,163604696.36,CRC,2018-01-17,2026-11-05
28,INS000028,356,Bond,46560426.62,USD,2018-09-28,2025-02-04
29,INS000029,375,Bond,63356944.01,JPY,2022-07-09,2024-08-31
30,INS000030,71,Loan,128673653.55,EUR,2020-02-23,2029-10-26
31,INS000031,36,Bond,122453528.62,EUR,2020-12-22,2028-04-16
32,INS000032,226,Loan,125987927.63,EUR,2019-12-21,2029-01-26
33,INS000033,471,MTN,172132542.4,USD,2020-04-23,2028-03-20
34,INS000034,460,Bond,118325209.63,XXX,2018-07-25,2021-02-17
