rating_id,entity_type,entity_id,rating_code,rating_date,agency,action_type
1,Issuer,105,ZZZ,2021-04-06,Fitch,Upgrade
2,Instrument,59,AAA,2027-02-07,S&P,Downgrade
3,Issuer,296,B+,2019-04-06,Fitch,Downgrade
4,Issuer,8,BB,2020-04-01,S&P,Downgrade
5,Issuer,244,B,2021-04-30,Fitch,Downgrade
6,Issuer,1658,AAA,2020-09-29,Moody’s,Downgrade
7,Instrument,337,CC,2021-01-18,Fitch,Initial
8,Instrument,426,C,2020-02-06,S&P,Review
9,Issuer,293,ZZZ,2022-09-12,S&P,Initial
10,Instrument,315,AA-,2020-05-26,S&P,Upgrade
11,Issuer,617,BB+,2022-12-26,Moody’s,Upgrade
12,Issuer,192,A+,2022-04-01,Fitch,Initial
13,Instrument,1627,A-,2020-01-09,S&P,Review
14,Issuer,488,A,2021-03-23,Moody’s,Initial
15,Instrument,177,A-,2022-07-11,Fitch,Downgrade
16,Instrument,929,D,2020-06-22,Fitch,Downgrade
17,Issuer,1343,CCC,2020-11-21,Moody’s,Review
18,Instrument,447,B-,2023-05-01,Fitch,Downgrade
19,Issuer,702,CCC,2020-06-22,S&P,Upgrade
20,Instrument,1976,CC,2019-09-16,S&P,Review
21,Instrument,247,CC,2022-12-30,Moody’s,Review
22,Instrument,888888,CC,2019-06-19,Fitch,Review
23,Instrument,1814,CCC,2020-02-04,S&P,Review
24,Issuer,382,BB,2021-12-12,Fitch,Review
25,Issuer,743,CC,2020-04-16,Fitch,Review
26,Instrument,888888,A,2022-07-24,Fitch,Review
27,Issuer,1957,D,2021-05-18,S&P,Upgrade
28,Issuer,1944,BB-,2020-08-30,Moody’s,Downgrade
29,Instrument,70,BBB-,2019-01-01,S&P,Upgrade
30,Instrument,376,D,2022-05-01,S&P,Initial
31,Instrument,888888,A,2023-04-15,S&P,Downgrade
32,Issuer,801,C,2020-02-01,S&P,Upgrade
33,Issuer,486,BBB,2019-10-15,Moody’s,Initial
34,Issuer,73,BBB,2023-04-07,Moody’s,Initial
35,Issuer,888888,AA-,2023-04-30,Fitch,Downgrade
36,Issuer,612,AA-,2022-01-13,Fitch,Downgrade
37,Issuer,387,BB+,2023-11-28,Moody’s,Initial
38,Instrument,524,AA-,2022-07-07,Moody’s,Downgrade
39,Issuer,1417,B-,2023-04-03,Moody’s,Review
40,Issuer,375,D,2022-05-11,Moody’s,Review
41,Instrument,1973,B+,2021-05-13,S&P,Initial
42,Instrument,1501,BBB,2020-05-30,Fitch,Upgrade
43,Instrument,515,BB,2019-06-20,S&P,Initial
44,Instrument,254,BBB+,2022-04-25,Moody’s,Upgrade
45,Issuer,1693,B-,2022-02-22,Fitch,Downgrade
46,Instrument,56,C,2023-09-13,Fitch,Initial
47,Issuer,392,BBB+,2021-01-08,Fitch,Downgrade
48,Instrument,82,BB,2022-08-18,Moody’s,Downgrade
49,Issuer,1666,B+,2022-10-02,S&P,Review
50,Issuer,485,BB+,2019-07-22,Moody’s,Downgrade
51,Issuer,1740,BBB,2021-01-04,Fitch,Upgrade
52,Instrument,510,BBB,2021-07-02,S&P,Upgrade
53,Instrument,1301,BBB,2023-04-24,S&P,Review
54,Instrument,1543,BB,2023-05-19,S&P,Downgrade
55,Issuer,316,CC,2023-02-24,S&P,Upgrade
56,Instrument,370,AA,2022-08-02,Moody’s,Upgrade
57,Instrument,1550,ZZZ,2020-02-19,Moody’s,Downgrade
58,Instrument,225,BB,2023-03-26,S&P,Review
59,Instrument,98,C,2020-09-27,Fitch,Upgrade
60,Issuer,357,AA,2020-02-11,S&P,Initial
61,Instrument,299,BB+,2021-12-27,Moody’s,Downgrade
62,Issuer,213,BBB-,2022-06-10,Fitch,Initial
63,Instrument,907,AA+,2020-05-18,Fitch,Review
64,Instrument,115,BBB+,2020-05-17,S&P,Downgrade
65,Issuer,152,BBB+,2019-02-12,Fitch,Downgrade
66,Instrument,283,C,2020-01-29,Moody’s,Review
67,Instrument,1820,BB-,2023-03-10,Moody’s,Upgrade
68,Instrument,187,BBB+,2020-10-17,Fitch,Upgrade
69,Issuer,276,BB+,2023-10-28,Fitch,Review
70,Issuer,470,CCC,2022-12-21,Moody’s,Upgrade
71,Issuer,1238,BBB+,2023-01-14,Moody’s,Review
72,Instrument,429,AA+,2021-07-31,Fitch,Downgrade
73,Instrument,133,A,2019-02-15,Fitch,Downgrade
74,Issuer,977,A+,2019-05-11,Fitch,Upgrade
75,Issuer,566,C,2020-05-31,Fitch,Initial
76,Instrument,392,A+,2021-03-22,S&P,Downgrade
77,Instrument,1382,BBB-,2020-11-07,S&P,Downgrade
78,Issuer,1396,C,2020-10-06,S&P,Initial
79,Instrument,1587,AA,2022-06-11,S&P,Downgrade
80,Issuer,510,D,2023-05-04,S&P,Review
