transaction_id,instrument_id,trade_date,quantity,price,amount
1,1522,2020-02-25,937,82.89,77667.93
2,1820,2023-10-19,823,112.02,92192.46
3,1167,2022-02-07,560,86.83,48624.8
4,70,2021-09-01,774,99.67,77144.58
5,844,2020-10-21,818,82.34,67354.12
6,198,2024-09-09,200,89.8,17960.0
7,1973,2024-08-27,723,94.5,68323.5
8,1234,2022-02-09,137,98.65,11134.14100835843
9,367,2023-03-26,821,98.91,81205.11
10,1072,2022-05-31,355,96.31,34190.05
11,1945,2021-07-08,92,94.15,8661.8
12,554,2020-12-30,226,107.15,24215.9
13,1694,2020-04-05,517,87.18,45072.06
14,162,2024-06-05,232,116.08,26930.56
15,933,2022-07-25,964,107.39,103523.96
16,1150,2022-08-13,156,86.73,13529.88
17,1945,2023-05-08,963,90.15,71520.58837097033
18,1038,2023-03-06,944,114.81,108380.64
19,997,2021-08-23,419,87.7,36746.3
20,815,2020-03-08,755,86.58,65367.9
21,803,2023-11-16,802,83.28,66790.56
22,1775,2022-12-21,693,105.65,73215.45
23,1855,2022-10-26,228,98.01,22346.28
24,118,2020-08-29,538,110.52,59459.76
25,424,2020-03-08,835,84.15,70265.25
26,1408,2023-04-03,186,106.12,19738.32
27,1085,2021-03-31,222,86.02,19096.44
28,337,2020-10-29,998,94.56,94370.88
29,687,2020-03-31,515,88.41,45531.15
30,1074,2024-06-30,824,90.79,74810.96
31,496,2023-07-12,678,81.2,55053.6
32,1127,2023-10-27,295,87.48,25806.6
33,513,2022-04-19,572,104.38,59705.36
34,225,2023-12-31,874,81.39,71134.86
35,812,2024-01-22,117,86.77,10152.09
36,1293,2021-09-28,342,109.74,37531.08
37,508,2021-02-06,609,85.19,51880.71
38,961,2020-04-24,594,106.35,63171.9
39,1811,2021-09-01,919,85.29,78381.51
40,1519,2022-02-28,89,106.81,9506.09
41,1553,2020-03-12,772,104.51,80681.72
42,779,2020-05-29,695,92.47,64266.65
43,1251,2024-10-21,998,82.02,81855.96
44,1329,2023-08-22,786,97.09,62868.93558619427
45,602,2020-06-18,279,119.51,33343.29
46,1552,2024-06-18,55,103.48,5691.4
47,953,2024-11-10,511,90.61,46301.71
48,1353,2022-04-28,642,81.32,52207.44
49,68,2021-11-07,909,98.34,89391.06
50,847,2024-05-13,339,80.42,27262.38
51,487,2022-07-12,182,113.08,20580.56
52,562,2022-03-24,781,112.7,88018.7
53,667,2024-07-13,800,106.7,85360.0
54,1101,2024-04-05,311,95.89,29821.79
55,1787,2020-06-25,375,115.89,43458.75
56,65,2022-04-08,617,83.4,51457.8
57,1500,2021-04-26,412,92.81,31501.48658851631
58,1379,2022-04-07,200,87.04,17408.0
59,1558,2020-08-24,82,99.41,8151.62
60,1042,2021-11-20,513,83.08,35111.78539049997
61,1235,2023-12-27,-365,84.56,30864.4
62,366,2024-06-19,475,86.85,41253.75
63,777777,2023-05-07,89,118.7,10564.3
64,1563,2020-10-25,152,91.65,13930.8
65,777777,2020-10-17,878,85.23,74831.94
66,1119,2021-06-10,262,116.96,30643.52
67,677,2024-06-07,463,82.83,38350.29
68,1903,2022-03-10,999,114.44,114325.56
69,767,2023-10-23,424,83.47,35391.28
70,1372,2021-06-13,173,99.38,17192.74
71,746,2024-09-17,961,114.51,110044.11
72,1066,2024-11-01,847,100.83,85403.01
73,887,2020-01-29,456,115.06,52467.36
74,443,2021-04-26,583,99.99,58294.17
75,98,2022-11-18,299,119.88,35844.12
76,1644,2021-02-02,843,88.04,74217.72
77,804,2024-10-07,233,98.88,23039.04
78,1707,2023-07-23,370,105.42,39005.4
79,777777,2022-04-29,882,103.05,90890.1
80,1320,2022-11-26,401,100.9,40460.9
81,46,2022-09-12,977,80.94,79078.38
82,688,2021-05-03,437,103.55,45251.35
83,382,2024-07-20,60,82.03,4921.8
84,28,2023-06-15,383,85.72,32830.76
85,1350,2024-07-25,428,88.07,37693.96
86,1790,2020-01-12,491,80.63,39589.33
87,74,2021-04-25,583,104.75,61069.25
88,1642,2020-06-27,473,115.79,54768.67
89,229,2021-03-18,708,90.59,64137.72
90,921,2024-08-14,305,112.18,34214.9
91,1165,2021-04-11,857,87.06,74610.42
92,295,2023-11-04,656,103.15,67666.4
93,1441,2022-10-27,751,96.31,72328.81
94,1169,2021-11-02,905,104.88,94916.4
95,1686,2022-05-03,520,90.4,47008.0
96,1251,2021-05-19,138,109.66,15133.08
97,505,2022-03-20,789,109.16,86127.24
98,1979,2022-11-12,903,109.24,98643.72
99,634,2020-03-01,780,88.57,69084.6
100,1635,2022-11-20,188,107.16,20146.08
101,1698,2021-12-08,641,83.42,53472.22
102,1292,2023-09-28,117,104.47,12222.99
103,1362,2022-10-23,87,96.66,8409.42
104,1037,2024-08-04,828,81.02,67084.56
105,1095,2023-02-23,624,110.05,68671.2
106,777777,2023-07-03,279,108.95,30397.05
107,1482,2020-12-28,413,88.31,36472.03
108,1593,2021-09-10,285,97.5,27787.5
109,381,2022-09-18,140,93.17,13043.8
